Time (s),Pos_0,Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Torque_0,Torque_1,Torque_2,Torque_3,Torque_4,Torque_5,Torque_6,Current_0,Current_1,Current_2,Current_3,Current_4,Current_5,Current_6,Velocity_0,Velocity_1,Velocity_2,Velocity_3,Velocity_4,Velocity_5,Velocity_6
4.0531158447265625e-06,0.0026088799349963665,359.9974670410156,359.9982604980469,359.99896240234375,0.000327007524902001,0.0017987187020480633,359.99798583984375,35.389915466308594,34.177391052246094,32.570091247558594,35.43986892700195,39.753395080566406,41.587890625,42.1961669921875,-0.4059063494205475,-0.11894437670707703,-0.3629496693611145,-0.10682685673236847,-0.540716826915741,0.25274184346199036,-0.6770572662353516,-0.088623046875,0.15328805148601532,0.0332183800637722,0.18547779321670532,0.0040283203125,-0.07696095108985901,0.037139277905225754,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5071420669555664,0.0026088799349963665,359.9974670410156,359.9982604980469,359.99896240234375,0.000327007524902001,0.0017987187020480633,359.99798583984375,35.39958572387695,34.166114807128906,32.56767654418945,35.44953536987305,39.7791748046875,41.56452560424805,42.189720153808594,-0.43656930327415466,-0.16241998970508575,-0.3643614649772644,-0.10316383093595505,-0.5452349781990051,0.24129357933998108,-0.6832911372184753,-0.07295598834753036,0.15392190217971802,0.025477334856987,0.17724609375,-0.0040283203125,-0.08066704869270325,0.03247735649347305,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0172929763793945,0.0026088799349963665,359.9974670410156,359.9982604980469,359.99896240234375,0.000327007524902001,0.0017987187020480633,359.99798583984375,35.398780822753906,34.170143127441406,32.5684814453125,35.43181228637695,39.742919921875,41.5838623046875,42.21147537231445,-0.4252372086048126,-0.15673784911632538,-0.3434472382068634,-0.1316259205341339,-0.5276460647583008,0.23136067390441895,-0.7125954031944275,-0.08898849785327911,0.1613340973854065,0.04338633641600609,0.1860019862651825,-0.0056969053111970425,-0.08066704869270325,0.04108096659183502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.525146484375,0.0026088799349963665,359.99761962890625,359.9982604980469,5.187574863433838,0.000327007524902001,0.0019622361287474632,359.99798583984375,35.38911056518555,34.158058166503906,32.55720138549805,35.463233947753906,39.772727966308594,41.566139221191406,42.193748474121094,-0.4465258717536926,0.5163037776947021,-0.33066457509994507,-0.6298010349273682,-0.5414837002754211,0.4147668480873108,-0.689757227897644,-0.088623046875,0.16938117146492004,0.04338633641600609,0.4673546254634857,0.0056969053111970425,-0.08469058573246002,0.04048411548137665,-0.00030337978387251496,0.0036405574064701796,0.0,23.161174774169922,0.0,0.002122055273503065,0.0
2.0338048934936523,0.002582570305094123,359.9986572265625,359.99822998046875,17.939960479736328,0.0003815133241005242,0.002616305835545063,359.998046875,35.39555740356445,34.174171447753906,32.564453125,35.459205627441406,39.75419998168945,41.59272384643555,42.190528869628906,-0.5373669862747192,3.040687322616577,-0.2715279459953308,1.826164722442627,-0.5056943893432617,0.9588318467140198,-0.6673934459686279,-0.08898849785327911,0.056396484375,0.029048630967736244,0.17724609375,-0.008056640625,-0.16521024703979492,0.0332183800637722,0.0,0.00030383889679796994,0.0,24.822614669799805,0.0,0.0006067595677450299,0.0
2.541248321533203,0.002582570305094123,359.9991455078125,359.99822998046875,30.605051040649414,0.0003815133241005242,0.0035974106285721064,359.998046875,35.3883056640625,34.17497634887695,32.56525802612305,35.455177307128906,39.78239822387695,41.570167541503906,42.2001953125,-0.4630213975906372,5.28180456161499,-0.15289445221424103,4.529891490936279,-0.5178905725479126,1.71002197265625,-0.6505865454673767,-0.08898849785327911,-0.025477334856987,0.03603039309382439,-0.029048630967736244,-0.0040283203125,-0.2457275390625,0.0281982421875,0.0,0.0,0.0,25.10085105895996,0.0,0.003789384150877595,0.0
3.047631025314331,0.002582570305094123,359.9997253417969,359.99822998046875,43.24125289916992,0.0003815133241005242,0.0040879626758396626,359.998046875,35.3963623046875,34.16852951049805,32.553977966308594,35.45598220825195,39.75983810424805,41.566139221191406,42.14299392700195,-0.43091827630996704,6.896035671234131,-0.07495242357254028,6.296162128448486,-0.5293041467666626,2.0693840980529785,-0.6360519528388977,-0.0809682309627533,-0.11279296875,0.04833984375,-0.23378144204616547,-0.011393810622394085,-0.3224921226501465,0.03647799417376518,0.0,0.0006067595677450299,0.0,24.856595993041992,0.0,0.0027283565141260624,0.0
3.555248260498047,0.0025562606751918793,0.001617431640625,359.99822998046875,55.924076080322266,0.0003815133241005242,0.00441499799489975,359.998046875,35.39958572387695,34.16691970825195,32.554786682128906,35.45759201049805,39.71794509887695,41.570167541503906,42.2001953125,-0.43952280282974243,8.830365180969238,-0.030773397535085678,7.337029457092285,-0.5024499893188477,2.247004270553589,-0.617263913154602,-0.08898849785327911,-0.2901509404182434,0.025477334856987,-0.265869140625,0.009007598273456097,-0.3826904296875,0.0443115234375,-0.00030383889679796994,-0.0009787862654775381,0.0,24.68333625793457,0.0,0.0010626320727169514,0.0
4.061713218688965,0.0025562606751918793,0.00921630859375,359.99822998046875,68.58611297607422,0.0004360191524028778,0.004633021075278521,359.998046875,35.39716720581055,34.17900466918945,32.54914474487305,35.442283630371094,39.73163986206055,41.61125564575195,42.2042236328125,-0.4730004072189331,10.951520919799805,-0.008246209472417831,8.477519989013672,-0.5343977808952332,2.495375633239746,-0.6247928738594055,-0.07295598834753036,-1.1923828125,0.0332183800637722,-0.38680264353752136,-0.0040283203125,-0.3988037109375,0.0362548828125,-0.0003036091511603445,0.00391992274671793,-0.00030337978387251496,24.94280433654785,0.0006076717399992049,0.003190308343619108,0.0
4.568875789642334,0.0025562606751918793,0.006317138671875,359.99822998046875,81.07566833496094,0.0003815133241005242,0.004033457022160292,359.998046875,35.397972106933594,34.170143127441406,32.5523681640625,35.455177307128906,39.75419998168945,41.558082580566406,42.213890075683594,-0.3680976927280426,9.944470405578613,0.08466045558452606,7.6442036628723145,-0.5541993379592896,2.3162832260131836,-0.6029569506645203,-0.072509765625,-1.345458984375,0.040283203125,-0.5242390632629395,-0.0127386674284935,-0.43104907870292664,0.0362548828125,0.0,-0.0051574562676250935,0.00030337978387251496,21.913230895996094,-0.0006067595677450299,-0.012429180555045605,0.0
