Time (s),Pos_0,Pos_1,Pos_2,Pos_3,Pos_4,Pos_5,Pos_6,Temp_0,Temp_1,Temp_2,Temp_3,Temp_4,Temp_5,Temp_6,Torque_0,Torque_1,Torque_2,Torque_3,Torque_4,Torque_5,Torque_6,Current_0,Current_1,Current_2,Current_3,Current_4,Current_5,Current_6,Velocity_0,Velocity_1,Velocity_2,Velocity_3,Velocity_4,Velocity_5,Velocity_6,Tool_X,Tool_Y,Tool_Z,Tool_Roll,Tool_Pitch,Tool_Yaw
1.6689300537109375e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,29,31,28,32,31,0,0.0,-8.10462474822998,-4.635746955871582,-1.26474049539896e-16,-1.030268907546997,-1.7458432649513574e-19,0.0,0.33500000834465027,-1.659999966621399,-0.6499999761581421,4.75921385634237e-15,-0.10000000149011612,-0.12999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.587,4.105,113.184,179.9674758450794,-0.02245994556912827,0.01873571990077792
0.500648021697998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,29,31,28,32,31,0,0.0,-8.10462474822998,-4.635746955871582,-1.26474049539896e-16,-1.030268907546997,-1.7458432649513574e-19,0.0,0.3125,-1.649999976158142,-0.6800000071525574,0.012500000186264515,-0.09000000357627869,-0.12999999523162842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.587,4.105,113.184,179.9674758450794,-0.02245994556912827,0.01873571990077792
1.000943899154663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26,29,31,28,32,31,0,0.0,-8.10462474822998,-4.635746955871582,-1.26474049539896e-16,-1.030268907546997,-1.7458432649513574e-19,0.0,0.2775000035762787,-1.6299999952316284,-0.7300000190734863,0.03999999910593033,-0.07500000298023224,-0.14000000059604645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206.587,4.105,113.184,179.9674758450794,-0.02245994556912827,0.01873571990077792
1.5018680095672607,0.0,0.0,-7.562240754813683,0.0,0.0,0.0,0.0,26,29,31,28,32,31,0,0.0004978399956598878,-9.748289108276367,-3.1238152980804443,-0.019882112741470337,-1.1057063341140747,0.000762908544857055,0.0,0.25999999046325684,-1.6200000047683716,-1.9225000143051147,0.06499999761581421,-0.05999999865889549,-0.15000000596046448,0.0,0.0,0.0,-29.989209135937436,0.0,0.0,0.0,0.0,262.832,4.027,137.336,179.97240328211754,-7.584586108823785,-0.017647100090029354
2.001987934112549,0.0,0.0,-25.555751127779132,0.0,0.0,0.0,0.0,26,29,31,28,32,31,0,0.00047044531675055623,-13.10270881652832,-7.951340198516846,-0.06635908037424088,-1.1894252300262451,0.0025905484799295664,0.0,0.21250000596046448,-1.847499966621399,-2.765000104904175,0.09000000357627869,-0.03999999910593033,-0.15000000596046448,0.0,0.0,0.0,-29.989209135937436,0.0,0.0,0.0,0.0,380.239,3.699,222.689,-179.9937746078759,-25.577867298671183,-0.11384671389249458
2.502582311630249,0.0,0.0,-37.5514247097561,0.0,0.0,0.0,0.0,26,29,31,28,32,31,0,0.00042626025970093906,-14.832216262817383,-10.773365020751953,-0.09398643672466278,-1.1811100244522095,0.0036769541911780834,0.0,0.1899999976158142,-2.265000104904175,-3.257499933242798,0.11999999731779099,-0.029999999329447746,-0.1599999964237213,0.0,0.0,0.0,-29.989209135937436,0.0,0.0,0.0,0.0,441.262,3.38,298.077,-179.94644829399812,-37.573311697530094,-0.1960661574937677
3.002983808517456,0.0,0.0,-55.54493508272156,0.0,0.0,0.0,0.0,26,29,31,28,32,31,0,0.0003259055665694177,-16.47821044921875,-13.179965019226074,-0.12738662958145142,-1.0733497142791748,0.004990368615835905,0.0,0.1574999988079071,-2.890000104904175,-3.677500009536743,0.14249999821186066,-0.009999999776482582,-0.17000000178813934,0.0,0.0,0.0,-29.989209135937436,0.0,0.0,0.0,0.0,500.287,2.788,430.686,-179.79495825296553,-55.566363704259444,-0.3938511883729279
3.503567934036255,0.0,0.0,-67.54066596047804,0.0,0.0,0.0,0.0,26,29,31,28,32,31,0,0.00024054470122791827,-16.873485565185547,-12.606965065002441,-0.14287494122982025,-0.9425593018531799,0.005599424242973328,0.0,0.12999999523162842,-3.1475000381469727,-3.577500104904175,0.1599999964237213,-2.3505503099485736e-16,-0.17000000178813934,0.0,0.0,0.0,-29.989209135937436,0.0,0.0,0.0,0.0,515.459,2.342,526.482,-179.54423192181625,-67.56134973688225,-0.6728816346016387
4.003976821899414,0.0,0.0,-85.53417633344348,0.0,0.0,0.0,0.0,26,29,31,28,32,31,0,9.41010657697916e-05,-16.370323181152344,-12.377765655517578,-0.15425507724285126,-0.6721738576889038,0.006046931724995375,0.0,0.0925000011920929,-3.0799999237060547,-3.5374999046325684,0.19249999523162842,0.019999999552965164,-0.18000000715255737,0.0,0.0,0.0,-29.989209135937436,0.0,0.0,0.0,0.0,500.298,1.645,670.84,-176.54279251202342,-85.54706788383392,-3.714943752069232
4.504586696624756,0.0,0.0,-97.64982727772085,0.0,0.0,0.0,0.0,26,29,31,28,32,31,0,-1.0621613910188898e-05,-15.31236743927002,-11.375015258789062,-0.1534150093793869,-0.4516313970088959,0.006013897247612476,0.0,0.07000000029802322,-2.880000114440918,-3.362499952316284,0.20999999344348907,0.027499999850988388,-0.1899999976158142,0.0,0.0,0.0,-29.989209135937436,0.0,0.0,0.0,0.0,465.114,1.186,762.259,-2.4900172818590445,-82.32217493394009,-177.7943042239277
